To think,Myśleć
Interesting,Ciekawy
Word,Słowo
Joke,Żart
A bit,Trochę
To enjoy,Cieszyć się
I guess,Chyba
Result,Wynik
To finish,Kończyć
To dance,Tańczyć
To do,Robić
To talk,Rozmawiać
Sad,Smutny
Tall,Wysoki
Handsome,Przystojny
Already,Już
Dirty,Brudny
Hard-Working,Pracowity
Fat,Gruby
Young,Młody
Ugly,Brzydki
Pretty,Ładny
Sick,Chory
Cheerful,Wesoły
Healthy,Zdrowy
Lazy,Leniwy
Short,Niski
Clean,Czysty
Slim,Szczupły
Sure,Pewny
Active,Aktywny
Aggressive,Agresywny
Creative,Kreatywny
Athletic,Wysportowany
Frustrated,Sfrustrowany
Stressed,Zestresowany
Talented,Utalentowany
Romantic,Romantyczny
Spontaneous,Spontaniczny
Energetic,Energiczny
Ambitious,Ambitny
Attractive,Atrakcyjny
Intelligent,Inteligentny
