To eat,Jeść
To drink,Pić
Food,Jedzenia
Drink,Napój
Bread,Chleb
Cheese,Ser
Egg,Jajko
Rice,Ryż
Honey,Miód
Oil,Olej
Sugar,Cukier
Fruit,Owoc
Apple,Jabłko
Banana,Banan
Potato,Ziemniak
Meat,Mięso
Soup,Zupa
Salad,Sałatka
Chocolate,Czekolada
Cake,Ciasto
Biscuit,Ciastko
Icecream,Lód
Water,Woda
Juice,Sok
Beer,Piwo
Wine,Wino
Milk,Mleko
Coffe,Kawa
Tea,Herbata
Tomato,Pomidor
Onion,Cebula
Garlic,Czosnek
Carrot,Marchewka
Pepper,Papryka
Salt,Sól
Dinner,Kolacja
Breakfast,Śniadanie
