Who,Kto
What,Co
New,Nowy
Old,Stary
Good,Dobry
Bad,Zły
Big,Duży
Small,Mały
Unfortunately,Niestety
To remember,Pamiętać
Book,Książka
Pencil,Ołowek
Pen,Długopis
Board,Tablica
Table,Stół
Chair,Krzesło
Notebook,Zeszyt
Window,Okno
Key,Klucz
Mug,Kubek
Cellphone,Komórka
Bag,Torba
Map,Mapa
