Art,Sztuka
Zone,Strefa
Announcement,Ogłoszenie
Information,Informacja
Arrival,Przyjazd
Lift,Winda
Plastic,Plastik
Dangerous,Niebezpieczny
Bathroom,Łazienka
Prince,Książę
Cash,Gotówka
Construction,Budowy
Forbidden,Zakazany
River,Rzeka
Castle,Zamek
Pavement,Chodnik
Wheel,Koło
Knowledge,Wiedza
