Clothes,Ubrania
Jacket,Kurtka
Pants,Spodnie
Shoe,But
Shirt,Koszula
T-Shirt,Koszulka
Skirt,Spódnica
Dress,Sukienka
Coat,Płaszcz
Scarf,Szal
Tie,Krawat
Sock,Skarpetka
Gloves,Rękawiczki
Belt,Pasek
Necklace,Naszyjnik
Jeans,Dżinsy
Pocket,Kieszeń
Glasses,Okulary
Bracelet,Bransoletka
Bra,Stanik
Leather,Skóra
Wool,Wełna
Helmet,Kask
Fur,Futro
Jewellery,Biżuteria
Earring,Kolczyk
