Divorced,Rozwiedziony
To live,Żyć
To survive,Przeżyć
Siblings,Rodzeństwo
Tree,Drzewo
Never,Nigdy
Grandfather,Dziadek
Grandmother,Babcia
Parents,Rodziców
Cousin,Kuzyn
Single (masc),Kawaler
Single (fem),Panna
Aunt,Ciocia
Uncle,Wujek
Rarely,Rzadko
That's why,Dlatego
