White,Biały
Black,Czarny
Grey,Szary
Yellow,Żółty
Orange,Pomarańczowy
Red,Czerwony
Pink,Różowy
Violet,Fioletowy
Blue,Niebieski
Green,Zielony
Brown,Brązowy
